"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1WVFY0007","2020-10-21","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2020-10-22","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2020-10-26","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","   38",",,N",,,,,,
"US1WVFY0007","2020-10-27","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2020-10-28","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2020-10-29","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","  206",",,N",,,,,,
"US1WVFY0007","2020-11-02","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","   13",",,N",,,,,,
"US1WVFY0007","2020-11-03","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2020-11-04","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2020-11-05","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2020-11-09","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2020-11-10","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2020-11-12","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","  251",",,N",,,,,,
"US1WVFY0007","2020-11-13","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2020-12-08","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","   23",",,N",,,,,,
"US1WVFY0007","2020-12-09","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2020-12-11","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2020-12-14","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","  203",",,N",,,,,,
"US1WVFY0007","2021-01-05","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2021-01-06","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","   20",",,N",,,,,,
"US1WVFY0007","2021-01-11","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2021-01-12","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2021-01-13","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2021-01-14","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2021-01-15","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2021-01-19","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2021-01-20","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2021-01-21","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","   10",",,N",,,,,,
"US1WVFY0007","2021-01-22","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2021-01-25","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","   23",",,N",,,,,,
"US1WVFY0007","2021-01-26","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","  371",",,N",,,,,,
"US1WVFY0007","2021-01-27","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
"US1WVFY0007","2021-01-28","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","   48",",,N",,,,,,
"US1WVFY0007","2021-01-29","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","   13",",,N",,,,,,
"US1WVFY0007","2021-02-01","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","   86",",,N",,,,,,
"US1WVFY0007","2021-02-02","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","   36",",,N",,,,,,
"US1WVFY0007","2021-02-03","37.926995","-81.155549","489.5","GLEN JEAN 0.3 W, WV US","    0",",,N","    0",",,N",,,,
