"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES"
"USC00460784","2011-01-02","38.6033","-81.0328","266.7","BIG OTTER, WV US","  178",",,7,0700",,,,
"USC00460784","2011-01-26","38.6033","-81.0328","266.7","BIG OTTER, WV US","   89",",,7,0700",,,,
"USC00460784","2011-01-28","38.6033","-81.0328","266.7","BIG OTTER, WV US","   63",",,7,0700","   76",",,7","  152",",,7,0700"
"USC00460784","2011-02-02","38.6033","-81.0328","266.7","BIG OTTER, WV US","   76",",,7,0700",,,"    0",",,7,0700"
"USC00460784","2011-02-22","38.6033","-81.0328","266.7","BIG OTTER, WV US","  102",",,7,0700",,,,
"USC00460784","2011-02-25","38.6033","-81.0328","266.7","BIG OTTER, WV US","  254",",,7,0700",,,,
"USC00460784","2011-02-28","38.6033","-81.0328","266.7","BIG OTTER, WV US","  152",",,7,0700",,,,
"USC00460784","2011-03-06","38.6033","-81.0328","266.7","BIG OTTER, WV US","  279",",,7,0700",,,,
"USC00460784","2011-03-09","38.6033","-81.0328","266.7","BIG OTTER, WV US","   51",",,7,0700",,,,
"USC00460784","2011-04-03","38.6033","-81.0328","266.7","BIG OTTER, WV US","  254",",,7,0700",,,,
"USC00460784","2011-04-04","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-04-05","38.6033","-81.0328","266.7","BIG OTTER, WV US","  226",",,7,0700",,,,
"USC00460784","2011-04-09","38.6033","-81.0328","266.7","BIG OTTER, WV US","   63",",,7,0700",,,,
"USC00460784","2011-04-10","38.6033","-81.0328","266.7","BIG OTTER, WV US","  178",",,7,0700",,,,
"USC00460784","2011-04-12","38.6033","-81.0328","266.7","BIG OTTER, WV US","  102",",,7,0700",,,,
"USC00460784","2011-04-17","38.6033","-81.0328","266.7","BIG OTTER, WV US","  216",",,7,0700",,,,
"USC00460784","2011-04-23","38.6033","-81.0328","266.7","BIG OTTER, WV US","  305",",,7,0700",,,,
"USC00460784","2011-04-24","38.6033","-81.0328","266.7","BIG OTTER, WV US","   63",",,7,0700",,,,
"USC00460784","2011-04-25","38.6033","-81.0328","266.7","BIG OTTER, WV US","  114",",,7,0700",,,,
"USC00460784","2011-04-28","38.6033","-81.0328","266.7","BIG OTTER, WV US","  317",",,7,0700",,,,
"USC00460784","2011-05-01","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-02","38.6033","-81.0328","266.7","BIG OTTER, WV US","  114",",,7,0700",,,,
"USC00460784","2011-05-03","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-04","38.6033","-81.0328","266.7","BIG OTTER, WV US","  178",",,7,0700",,,,
"USC00460784","2011-05-05","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-06","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-07","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-08","38.6033","-81.0328","266.7","BIG OTTER, WV US","   89",",,7,0700",,,,
"USC00460784","2011-05-09","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-10","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-11","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-12","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-13","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-14","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-15","38.6033","-81.0328","266.7","BIG OTTER, WV US","  127",",,7,0700",,,,
"USC00460784","2011-05-16","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-17","38.6033","-81.0328","266.7","BIG OTTER, WV US","   38",",,7,0700",,,,
"USC00460784","2011-05-18","38.6033","-81.0328","266.7","BIG OTTER, WV US","  114",",,7,0700",,,,
"USC00460784","2011-05-19","38.6033","-81.0328","266.7","BIG OTTER, WV US","   38",",,7,0700",,,,
"USC00460784","2011-05-20","38.6033","-81.0328","266.7","BIG OTTER, WV US","   38",",,7,0700",,,,
"USC00460784","2011-05-21","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-22","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-23","38.6033","-81.0328","266.7","BIG OTTER, WV US","   25",",,7,0700",,,,
"USC00460784","2011-05-24","38.6033","-81.0328","266.7","BIG OTTER, WV US","   89",",,7,0700",,,,
"USC00460784","2011-05-25","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-26","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-27","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-28","38.6033","-81.0328","266.7","BIG OTTER, WV US","   51",",,7,0700",,,,
"USC00460784","2011-05-29","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-30","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-05-31","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-06-05","38.6033","-81.0328","266.7","BIG OTTER, WV US","   51",",,7,0700",,,,
"USC00460784","2011-06-08","38.6033","-81.0328","266.7","BIG OTTER, WV US","  140",",,7,0700",,,,
"USC00460784","2011-06-13","38.6033","-81.0328","266.7","BIG OTTER, WV US","  102",",,7,0700",,,,
"USC00460784","2011-06-19","38.6033","-81.0328","266.7","BIG OTTER, WV US","  140",",,7,0700",,,,
"USC00460784","2011-06-20","38.6033","-81.0328","266.7","BIG OTTER, WV US","  152",",,7,0700",,,,
"USC00460784","2011-06-22","38.6033","-81.0328","266.7","BIG OTTER, WV US","  152",",,7,0700",,,,
"USC00460784","2011-06-23","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-06-24","38.6033","-81.0328","266.7","BIG OTTER, WV US","   51",",,7,0700",,,,
"USC00460784","2011-07-01","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-07-02","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-07-03","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-07-04","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-07-05","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
"USC00460784","2011-07-06","38.6033","-81.0328","266.7","BIG OTTER, WV US","    0",",,7,0700",,,,
