"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1WVNC0001","2009-05-02","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","   51",",,N",,,,,,,,
"US1WVNC0001","2009-05-03","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","   89",",,N",,,,,,,,
"US1WVNC0001","2009-05-04","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","   97",",,N",,,,,,,,
"US1WVNC0001","2009-05-05","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","   18",",,N",,,,,,,,
"US1WVNC0001","2009-05-06","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","  117",",,N",,,,,,,,
"US1WVNC0001","2009-05-07","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","  117",",,N",,,,,,,,
"US1WVNC0001","2009-05-08","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","    5",",,N",,,,,,,,
"US1WVNC0001","2009-05-09","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","  254",",,N",,,,,,,,
"US1WVNC0001","2009-05-10","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVNC0001","2009-05-11","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVNC0001","2009-05-12","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVNC0001","2009-05-13","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVNC0001","2009-05-14","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVNC0001","2009-05-15","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","   23",",,N",,,,,,,,
"US1WVNC0001","2009-05-16","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","    0",",,N","    0",",,N",,,,,,
"US1WVNC0001","2009-05-17","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","  279",",,N",,,,,,,,
"US1WVNC0001","2009-05-18","38.20275","-80.94297","522.7","SUMMERSVILLE 7.8 SW, WV US","    0",",,N","    0",",,N",,,,,,
