"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1WVKN0034","2020-05-14","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   10",",,N",,,,,,
"US1WVKN0034","2020-05-15","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    3",",,N",,,,,,
"US1WVKN0034","2020-05-16","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  229",",,N",,,,,,
"US1WVKN0034","2020-05-17","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-05-18","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-05-19","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   56",",,N",,,,,,
"US1WVKN0034","2020-05-20","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  234",",,N",,,,,,
"US1WVKN0034","2020-05-21","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  300",",,N",,,,,,
"US1WVKN0034","2020-05-22","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  130",",,N",,,,,,
"US1WVKN0034","2020-05-23","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   94",",,N",,,,,,
"US1WVKN0034","2020-05-24","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   53",",,N",,,,,,
"US1WVKN0034","2020-05-25","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-05-26","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  145",",,N",,,,,,
"US1WVKN0034","2020-05-27","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-05-28","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  254",",,N",,,,,,
"US1WVKN0034","2020-05-29","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   43",",,N",,,,,,
"US1WVKN0034","2020-05-30","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  119",",,N",,,,,,
"US1WVKN0034","2020-05-31","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-01","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-02","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-04","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-05","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  290",",,N",,,,,,
"US1WVKN0034","2020-06-06","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   71",",,N",,,,,,
"US1WVKN0034","2020-06-07","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   86",",,N",,,,,,
"US1WVKN0034","2020-06-08","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-09","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-10","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-11","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-12","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-13","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-14","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    3",",,N",,,,,,
"US1WVKN0034","2020-06-15","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   18",",,N",,,,,,
"US1WVKN0034","2020-06-16","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-18","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   36",",,N",,,,,,
"US1WVKN0034","2020-06-19","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   13",",,N",,,,,,
"US1WVKN0034","2020-06-21","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-22","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   36",",,N",,,,,,
"US1WVKN0034","2020-06-23","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  206",",,N",,,,,,
"US1WVKN0034","2020-06-24","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-25","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   10",",,N",,,,,,
"US1WVKN0034","2020-06-26","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-27","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-28","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-29","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-06-30","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-07-17","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   10",",,N",,,,,,
"US1WVKN0034","2020-07-18","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-07-19","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-07-21","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    5",",,N",,,,,,
"US1WVKN0034","2020-07-22","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-07-23","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  221",",,N",,,,,,
"US1WVKN0034","2020-07-24","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  150",",,N",,,,,,
"US1WVKN0034","2020-07-28","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  170",",,N",,,,,,
"US1WVKN0034","2020-07-29","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-07-31","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  330",",,N",,,,,,
"US1WVKN0034","2020-08-02","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  137",",,N",,,,,,
"US1WVKN0034","2020-08-03","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-04","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-05","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-06","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-07","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-08","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-09","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-10","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-11","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-12","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-13","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-14","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-15","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  178",",,N",,,,,,
"US1WVKN0034","2020-08-16","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-17","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-18","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-19","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   33",",,N",,,,,,
"US1WVKN0034","2020-08-20","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-21","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-22","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-23","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   51",",,N",,,,,,
"US1WVKN0034","2020-08-24","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-25","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-26","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   51",",,N",,,,,,
"US1WVKN0034","2020-08-27","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-28","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-29","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  178",",,N",,,,,,
"US1WVKN0034","2020-08-30","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0034","2020-08-31","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  152",",,N",,,,,,
"US1WVKN0034","2020-09-01","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","   81",",,N",,,,,,
"US1WVKN0034","2020-09-02","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","    3",",,N",,,,,,
"US1WVKN0034","2020-09-03","38.38436","-81.81312","178.9","ST. ALBANS 0.5 NNE, WV US","  130",",,N",,,,,,
