"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES"
"US1WVKN0027","2017-04-26","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","   20",",,N",,,,,,
"US1WVKN0027","2017-04-27","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0027","2017-04-28","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","   28",",,N",,,,,,
"US1WVKN0027","2017-04-29","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","    8",",,N",,,,,,
"US1WVKN0027","2017-04-30","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0027","2017-05-01","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","    0","T,,N",,,,,,
"US1WVKN0027","2017-05-02","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","  130",",,N",,,,,,
"US1WVKN0027","2017-05-03","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0027","2017-05-04","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","   10",",,N",,,,,,
"US1WVKN0027","2017-05-05","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","  198",",,N",,,,,,
"US1WVKN0027","2017-05-06","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","  114",",,N",,,,,,
"US1WVKN0027","2017-05-07","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","   53",",,N",,,,,,
"US1WVKN0027","2017-05-08","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0027","2017-05-09","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","    3",",,N",,,,,,
"US1WVKN0027","2017-05-10","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","  109",",,N",,,,,,
"US1WVKN0027","2017-05-11","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","   41",",,N",,,,,,
"US1WVKN0027","2017-05-12","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","   64",",,N",,,,,,
"US1WVKN0027","2017-05-13","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","  307",",,N",,,,,,
"US1WVKN0027","2017-05-14","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","    0",",,N","    0",",,N",,,,
"US1WVKN0027","2017-05-15","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","    0","T,,N",,,,,,
"US1WVKN0027","2017-05-16","38.383227","-81.544973","282.9","PINCH 3.9 WSW, WV US","    0",",,N","    0",",,N",,,,
